Player,Betting Odds
Carlos Alcaraz,240
Novak Djokovic,360
Daniil Medvedev,3300
Lorenzo Musetti,15000
Jannik Sinner,190
Taylor Fritz,4000
Alex de Minaur,2500
Tommy Paul,3300
Alexander Zverev,1600
Holger Rune,4000
Grigor Dimitrov,5000
Giovanni Mpetshi Perricard,30000
Ugo Humbert,30000
Ben Shelton,15000
Arthur Fils,40000
Roberto Bautista-Agut,30000
Jan-Lennard Struff,8000
Cameron Norrie,25000
Denis Shapovalov,20000
Alexander Bublik,20000
Alejandro Tabilo,20000
Yoshihito Nishioka,50000
Gael Monfils,15000
Frances Tiafoe,30000
Emil Ruusuvuori,50000
Francisco Comesana,50000
Roman Safiullin,35000
Miomir Kecmanovic,40000
Fabio Fognini,50000
Quentin Halys,50000
Brandon Nakashima,40000
Lucas Pouille,50000
Alexei Popyrin,50000
Hubert Hurkacz,1200
Jack Draper,2000
Stefanos Tsitsipas,4000
Matteo Berrettini,4000
Casper Ruud,15000
Christopher Eubanks,20000
Felix Auger-Aliassime,20000
Karen Khachanov,20000
Marcos Giron,30000
Tallon Griekspoor,30000
Zhizhen Zhang,30000
Daniel Evans,30000
Flavio Cobolli,40000
Francisco Cerundolo,35000
Jordan Thompson,40000
Juncheng Shang,40000
Borna Coric,40000
Alejandro Davidovich Fokina,40000
Aleksandar Vukic,40000
Lloyd Harris,40000
Lorenzo Sonego,40000
Stanislas Wawrinka,40000
Tomas Machac,40000
Luciano Darderi,50000
Adam Walton,50000
Alexandre Muller,50000
Arthur Cazaux,50000
Arthur Rinderknech,50000
Aslan Karatsev,50000
Botic Van de Zandschulp,50000
Christopher O'Connell,50000
Daniel Altmaier,50000
Dusan Lajovic,50000
Elias Ymer,50000
Felipe Meligeni Rodrigues Alves,50000
Jacob Fearnley,50000
Jaume Munar,50000
Kei Nishikori,50000
Laslo Djere,50000
Mackenzie McDonald,50000
Otto Virtanen,50000
Pavel Kotov,50000
Thanasi Kokkinakis,50000
Thiago Seyboth Wild,50000
Tomas Martin Etcheverry,50000
Sebastian Korda,6600
Andrey Rublev,6600
Paul Jubb,20000
Andy Murray,25000
Nicolas Jarry,30000
Jakub Mensik,35000
Adrian Mannarino,40000
Alex Michelsen,40000
Cristian Garin,40000
Marton Fucsovics,40000
Max Purcell,40000
Zizou Bergs,40000
Liam Broady,50000
Alejandro Moro Canas,50000
Aleksandar Kovacevic,50000
Alex Bolt,50000
Alexander Shevchenko,50000
Arthur Fery,50000
Billy Harris,50000
Charles Broom,50000
Constant Lestienne,50000
Dominic Stephan Stricker,50000
Fabian Marozsan,50000
Facundo Diaz Acosta,50000
Federico Coria,50000
Henry Searle,50000
Hugo Gaston,50000
James Duckworth,50000
Jan Choinski,50000
Luca Nardi,50000
Luca Van Assche,50000
Mariano Navone,50000
Mark Lajal,50000
Matteo Arnaldi,50000
Mattia Bellucci,50000
Maxime Janvier,50000
Maximilian Marterer,50000
Nuno Borges,50000
Pablo Carreno Busta,50000
Pedro Martinez,50000
Radu Albot,50000
Rinky Hijikata,50000
Roberto Carballes Baena,50000
Sebastian Baez,50000
Sebastian Ofner,50000
Soonwoo Kwon,50000
Sumit Nagal,50000
Taro Daniel,50000
Thiago Monteiro,50000
Vit Kopriva,50000
Yannick Hanfmann,50000